review
"Frozen II may not deliver the same love and energy of the first film, but with extraordinary animation, positive messages, and our beloved Olaf, it's still a film for Frozen fans to see."
A waste of beautiful animation.
The storyline overall feels forced and clunky.
"The songs, perhaps not as compelling as in the original, still make the heart beat faster now and then."
"It's all still very fantastical and while it likely falls slightly short of the first picture, it's still a wonderfully enjoyable movie."
...a torturously convoluted extension of an already complicated narrative.
"Frozen II still feels like the market-demanded sequel we know it to be. However, it's worth noting that despite the parts of it that were more than likely the result of studio notes, there's still an emotional core worth appreciating."
"So Frozen 2's attempts to evolve may not be entirely successful. So Frozen 2 seems like it's doing too much. There's something endearing about watching it try, and stumble, and try again."
Frozen II is the heroine's journey Elsa deserved from the start.
"Frozen 2... is more mature, ambitious, and intricate than its predecessor."
Fans of Frozen may have had to wait six years for the return of their beloved Elsa and Anna but the wait proves worth it with this dark but empowering sequel.
"The whole is far from perfect, but the good does outweigh the bad like its predecessor. [And] human compassion reigns supreme."
"A bit lesser than the previous film and, perhaps blessedly for all the parents out there, the songs are not quite as catchy, but Frozen 2 does world building quite well and earns high marks for charm."
Frozen II settles with simply continuing its story. [Full Review in Spanish]
A pleasant family entertainment that doesn't reach the high notes of its predecessor. The spectacle and most of the humor compensates for a story that feels too convoluted and simplistic at the same time. [Full review in Spanish]
"The excess in singing in this film is a bit fastidious, but it does give the film a feel more akin to literature than something cinematic. [Full Review in Spanish]"
"There's magic here, and elemental spirits, but no magic and nothing elemental, metaphorically speaking. Rote and smaller than its predecessor. Even the songs are bland and forgettable."
"Disney works its magic again with a sequel that outperforms the original. The actors, the animation, and especially the songs - it is all amazing. I'm just waiting to hear 4 year olds break into ""Into the Unknown""!!!!!"
"Frozen II has some charming moments and the returning vocal cast are in pleasing form, but there's something unwise in separating the characters so much."
A gorgeous film.
"Beautifully realised, with a terrific soundtrack (yes, better than last time)."
"This first viewing looks gorgeous and Olaf is my hero, but the story lacked the magic of its predecessor..."
